sex,age,address,Medu,Fedu,Mjob,Fjob,studytime,failures,famsup,internet,freetime,goout,health,absences,G3
F,18,U,4,4,at_home,teacher,2,0,no,no,3,4,3,6,6
F,17,U,1,1,at_home,other,2,0,yes,yes,3,3,3,4,6
F,15,U,1,1,at_home,other,2,3,no,yes,3,2,3,10,10
F,15,U,4,2,health,services,3,0,yes,yes,2,2,5,2,15
F,16,U,3,3,other,other,2,0,yes,no,3,2,5,4,10
M,16,U,4,3,services,other,2,0,yes,yes,4,2,5,10,15
M,16,U,2,2,other,other,2,0,no,yes,4,4,3,0,11
F,17,U,4,4,other,teacher,2,0,yes,no,1,4,1,6,6
M,15,U,3,2,services,other,2,0,yes,yes,2,2,1,0,19
M,15,U,3,4,other,other,2,0,yes,yes,5,1,5,0,15
F,15,U,4,4,teacher,health,2,0,yes,yes,3,3,2,0,9
F,15,U,2,1,services,other,3,0,yes,yes,2,2,4,4,12
M,15,U,4,4,health,services,1,0,yes,yes,3,3,5,2,14
M,15,U,4,3,teacher,other,2,0,yes,yes,4,3,3,2,11
M,15,U,2,2,other,other,3,0,yes,yes,5,2,3,0,16
F,16,U,4,4,health,other,1,0,yes,yes,4,4,2,4,14
F,16,U,4,4,services,services,3,0,yes,yes,2,3,2,6,14
F,16,U,3,3,other,other,2,0,yes,no,3,2,4,4,10
M,17,U,3,2,services,services,1,3,yes,yes,5,5,5,16,5
M,16,U,4,3,health,other,1,0,no,yes,1,3,5,4,10
M,15,U,4,3,teacher,other,2,0,no,yes,4,1,1,0,15
M,15,U,4,4,health,health,1,0,yes,yes,4,2,5,0,15
M,16,U,4,2,teacher,other,2,0,no,yes,5,1,5,2,16
M,16,U,2,2,other,other,2,0,yes,yes,4,4,5,0,12
F,15,R,2,4,services,health,3,0,yes,yes,3,2,5,2,8
F,16,U,2,2,services,services,1,2,yes,yes,2,2,5,14,8
M,15,U,2,2,other,other,1,0,yes,yes,2,2,5,2,11
M,15,U,4,2,health,services,1,0,no,yes,2,4,1,4,15
M,16,U,3,4,services,other,2,0,yes,yes,3,3,5,4,11
M,16,U,4,4,teacher,teacher,2,0,yes,yes,4,5,5,16,11
M,15,U,4,4,health,services,2,0,yes,yes,4,2,5,0,12
M,15,U,4,4,services,services,2,0,yes,yes,3,1,5,0,17
M,15,R,4,3,teacher,at_home,2,0,yes,yes,5,2,5,0,16
M,15,U,3,3,other,other,2,0,no,yes,3,2,2,0,12
M,16,U,3,2,other,other,1,0,yes,yes,4,3,5,0,15
F,15,U,2,3,other,other,1,0,yes,no,5,1,5,0,6
M,15,U,4,3,teacher,services,3,0,yes,yes,4,3,4,2,18
M,16,R,4,4,other,teacher,3,0,yes,yes,4,3,5,7,15
F,15,R,3,4,services,health,3,0,yes,yes,3,2,5,2,11
F,15,R,2,2,at_home,other,1,0,yes,no,3,1,2,8,13
F,16,U,2,2,other,other,2,1,yes,yes,3,3,3,25,11
M,15,U,4,4,teacher,other,1,0,yes,yes,4,3,5,8,12
M,15,U,4,4,services,teacher,2,0,yes,yes,3,3,5,2,18
M,15,U,2,2,services,services,1,0,yes,yes,4,1,1,0,11
F,16,U,2,2,other,at_home,2,1,no,yes,3,3,5,14,9
F,15,U,4,3,other,other,2,0,yes,yes,2,2,5,8,6
F,16,U,3,3,other,services,2,0,yes,yes,3,5,3,12,11
M,16,U,4,3,health,services,4,0,no,yes,2,2,2,4,20
M,15,U,4,2,teacher,other,2,0,yes,no,3,3,5,2,14
F,15,U,4,4,services,teacher,2,1,yes,yes,4,4,3,2,7
F,16,U,2,2,services,services,2,0,yes,yes,3,3,4,2,13
F,15,U,4,2,health,other,2,0,yes,yes,3,3,5,2,13
M,15,U,4,2,health,health,1,1,no,no,5,5,5,6,10
F,15,U,4,4,services,services,1,0,yes,yes,3,4,5,0,11
F,15,U,3,3,other,other,1,0,no,yes,3,4,1,6,13
F,16,U,2,1,other,other,2,0,no,yes,3,4,2,8,10
F,15,U,4,3,services,services,2,0,yes,yes,3,2,1,0,15
M,15,U,4,4,teacher,health,2,0,yes,no,2,2,5,4,15
M,15,U,1,2,other,at_home,2,0,yes,yes,3,2,5,2,9
F,16,U,4,2,services,other,2,0,yes,yes,2,3,5,2,16
F,16,R,4,4,health,teacher,2,0,yes,no,4,4,4,6,11
F,16,U,1,1,services,services,1,0,yes,yes,5,5,5,6,11
